############################################################################################################
# Minimums of wetness found for the following parameters:
# Body = WalkingMan.in, vmax = 0.7 vfall
# dx = 0.001 m, nstep = 50
# nfit = 9, dv = 0.006 vfall
# Columns:
# vcross (vfall)	vtail (vfall)	vopt (vfall)	vopt_std (vfall)	Rmin (m^2)	Rmin_std (m^2)
############################################################################################################
0.221052631579	0.036842105263	0.700000000000	0.000000000000	0.599732028969	0.000000000000
0.221052631579	0.073684210526	0.700000000000	0.000000000000	0.575400105896	0.000000000000
0.221052631579	0.110526315789	0.700000000000	0.000000000000	0.551267480422	0.000000000000
0.221052631579	0.147368421053	0.700000000000	0.000000000000	0.527311836714	0.000000000000
0.221052631579	0.184210526316	0.700000000000	0.000000000000	0.503576359511	0.000000000000
0.221052631579	0.221052631579	0.700000000000	0.000000000000	0.480067948100	0.000000000000
0.221052631579	0.257894736842	0.700000000000	0.000000000000	0.456820610728	0.000000000000
0.221052631579	0.294736842105	0.700000000000	0.000000000000	0.433908119505	0.000000000000
0.221052631579	0.331578947368	0.634927183078	0.000514420462	0.410502532350	0.000008095311
0.221052631579	0.368421052632	0.628913215796	0.000025217392	0.387208356261	0.000000500405
0.221052631579	0.405263157895	0.621870428759	0.000096807105	0.365050650139	0.000001812607
0.221052631579	0.442105263158	0.620508483708	0.000259785864	0.343973924769	0.000006077278
0.221052631579	0.478947368421	0.628556309971	0.000041487599	0.324237770193	0.000001069164
0.221052631579	0.515789473684	0.635903830092	0.000109093192	0.305903620320	0.000002177719
0.221052631579	0.552631578947	0.645008489630	0.000357483233	0.288742828220	0.000008882226
0.221052631579	0.589473684211	0.666357060567	0.000845472239	0.272855714868	0.000041453895
0.221052631579	0.626315789474	0.694210546384	0.000570352287	0.258390256508	0.000036899196
0.221052631579	0.663157894737	0.700000000000	0.000000000000	0.246427798563	0.000000000000
0.221052631579	0.700000000000	0.700000000000	0.000000000000	0.238767780557	0.000000000000
0.257894736842	0.000000000000	0.700000000000	0.000000000000	0.628067321801	0.000000000000
0.257894736842	0.036842105263	0.700000000000	0.000000000000	0.603774761880	0.000000000000
0.257894736842	0.073684210526	0.700000000000	0.000000000000	0.579689152983	0.000000000000
0.257894736842	0.110526315789	0.700000000000	0.000000000000	0.555767567723	0.000000000000
0.257894736842	0.147368421053	0.700000000000	0.000000000000	0.532082590887	0.000000000000
0.257894736842	0.184210526316	0.700000000000	0.000000000000	0.508685228408	0.000000000000
0.257894736842	0.221052631579	0.700000000000	0.000000000000	0.485563751030	0.000000000000
0.257894736842	0.257894736842	0.700000000000	0.000000000000	0.462750920939	0.000000000000
0.257894736842	0.294736842105	0.700000000000	0.000000000000	0.440248834330	0.000000000000
0.257894736842	0.331578947368	0.700000000000	0.000000000000	0.418047151659	0.000000000000
0.257894736842	0.368421052632	0.658592237539	0.000029788521	0.395593941707	0.000000529378
0.257894736842	0.405263157895	0.650523044859	0.000077989672	0.373933036556	0.000001319237
0.257894736842	0.442105263158	0.647887765677	0.000140011724	0.353264644300	0.000002873872
0.257894736842	0.478947368421	0.652346878381	0.000133985033	0.333771734260	0.000002967006
0.257894736842	0.515789473684	0.659874600166	0.000108659579	0.315545324576	0.000002203543
0.257894736842	0.552631578947	0.665220451640	0.000162687843	0.298467169119	0.000003259743
0.257894736842	0.589473684211	0.679326462889	0.000627766152	0.282475672285	0.000020110911
0.257894736842	0.626315789474	0.700000000000	0.000000000000	0.267737563962	0.000000000000
0.257894736842	0.663157894737	0.700000000000	0.000000000000	0.255741768803	0.000000000000
0.257894736842	0.700000000000	0.700000000000	0.000000000000	0.247311995231	0.000000000000
